"",index,raw name,mz_time,Peak.Id,mz,rt,Compound,exact_mass,Add.name
"218",218,201.1095841405 / 692.099975585938,201.1096 / 692.1,201.1095841405 / 692.099975585938,201.1096,692.1,C02202,400.2263,M+2H
"219",219,201.585540013592 / 155.849990844727,201.5855 / 155.8,201.585540013592 / 155.849990844727,201.5855,155.8,C07663,401.1751,M+2H
"220",220,202.045381604908 / 451.799987792969,202.0454 / 451.8,202.045381604908 / 451.799987792969,202.0454,451.8,C04352,402.0862,M+2H
"221",221,202.095849098842 / 503.699981689453,202.0958 / 503.7,202.095849098842 / 503.699981689453,202.0958,503.7,C08173,402.2042,M+2H
"222",222,202.116649014928 / 66,202.1166 / 66,202.116649014928 / 66,202.1166,66,C08173,402.2042,M+2H
"223",223,202.140262213491 / 990.299987792969,202.1403 / 990.3,202.140262213491 / 990.299987792969,202.1403,990.3,C06635,402.2618,M+2H
"224",224,203.079969241644 / 93.6000061035156,203.08 / 93.6,203.079969241644 / 93.6000061035156,203.08,93.6,C10511,404.1624,M+2H
"225",225,203.10796439736 / 843,203.108 / 843,203.10796439736 / 843,203.108,843,C02821,404.2199,M+2H
"226",226,203.125464896741 / 652.5,203.1255 / 652.5,203.125464896741 / 652.5,203.1255,652.5,C07074,404.2563,M+2H
"227",227,203.137211876875 / 57.9000015258789,203.1372 / 57.9,203.137211876875 / 57.9000015258789,203.1372,57.9,C07074,404.2563,M+2H
"228",228,204.084843869321 / 99.2999954223633,204.0848 / 99.3,204.084843869321 / 99.2999954223633,204.0848,99.3,C09275,406.178,M+2H
"229",229,204.083160031932 / 929.700012207031,204.0832 / 929.7,204.083160031932 / 929.700012207031,204.0832,929.7,C09275,406.178,M+2H
"230",230,204.110303476776 / 643.799987792969,204.1103 / 643.8,204.110303476776 / 643.799987792969,204.1103,643.8,C06812,406.2138,M+2H
"231",231,204.11057836334 / 256.200012207031,204.1106 / 256.2,204.11057836334 / 256.200012207031,204.1106,256.2,C06812,406.2138,M+2H
"232",232,204.110939565427 / 527.099975585938,204.1109 / 527.1,204.110939565427 / 527.099975585938,204.1109,527.1,C06812,406.2138,M+2H
"233",233,204.121439428736 / 62.3272132873535,204.1214 / 62.3,204.121439428736 / 62.3272132873535,204.1214,62.3,C08155,406.2508,M+2H
"234",234,205.094511875465 / 280.799987792969,205.0945 / 280.8,205.094511875465 / 280.799987792969,205.0945,280.8,C06842,408.1704,M+2H
"235",235,205.124564690344 / 62.1000003814697,205.1246 / 62.1,205.124564690344 / 62.1000003814697,205.1246,62.1,C09063,408.2512,M+2H
"236",236,205.115906694621 / 256.200012207031,205.1159 / 256.2,205.115906694621 / 256.200012207031,205.1159,256.2,C01192,408.2277,M+2H
"237",237,205.221369315403 / 280.937805175781,205.2214 / 280.9,205.221369315403 / 280.937805175781,205.2214,280.9,C20560,187.1797,M+NH4
"238",238,206.043106646604 / 299.100006103516,206.0431 / 299.1,206.043106646604 / 299.100006103516,206.0431,299.1,C10937,410.0896,M+2H
