"",index,raw data name,raw data name round,RAMClustR mz_rt,RAMClustR adduct
"88",88,158.079478150859 / 264.300018310547,158.079 / 264.3,,
"89",89,158.115991876096 / 58.7999992370605,158.116 / 58.8,,
"90",90,158.116050636216 / 66.9086532592773,158.116 / 66.9,,
"91",91,158.962799014778 / 43.7999992370605,158.963 / 43.8,158.963 / 43.8,[M+H]+
"92",92,159.063709606995 / 294.300018310547,159.064 / 294.3,,
"93",93,159.14765025414 / 43.5,159.148 / 43.5,,
"94",94,159.147934553283 / 72.8999938964844,159.148 / 72.9,,
"95",95,160.095517378016 / 145.800003051758,160.096 / 145.8,160.096 / 145.8,[M+H]+
"96",96,160.095247894169 / 98.7000045776367,160.095 / 98.7,,
"97",97,160.095212271926 / 307.5,160.095 / 307.5,,
"98",98,160.10708601067 / 68.4000015258789,160.107 / 68.4,,
"99",99,160.131637992712 / 54.5999984741211,160.132 / 54.6,,
"100",100,161.090928311347 / 198.599990844727,161.091 / 198.6,,
"101",101,162.053315798117 / 637.799987792969,162.053 / 637.8,,
"102",102,162.053575103525 / 450.000030517578,162.054 / 450,,
"103",103,162.074643634265 / 67.2629318237305,162.075 / 67.3,,
"104",104,162.111154641249 / 47.7000007629395,162.111 / 47.7,,
"105",105,163.073924924806 / 1659.59997558594,163.074 / 1659.6,,
"106",106,163.07401318733 / 1672.5,163.074 / 1672.5,,
"107",107,164.072780708047 / 90,164.073 / 90,,
"108",108,165.053261038207 / 70.5,165.053 / 70.5,,
"109",109,166.08470542122 / 131.699996948242,166.085 / 131.7,166.085 / 131.7,[M+H]+
"110",110,166.070998023902 / 62.4000015258789,166.071 / 62.4,,
"111",111,166.071167741223 / 98.7000045776367,166.071 / 98.7,166.071 / 98.7,[M+H- C5H10O5+H2O]+
"112",112,166.197755541796 / 131.400009155273,166.198 / 131.4,,
"113",113,167.011187685135 / 39.5999984741211,167.011 / 39.6,,
"114",114,167.055062352095 / 109.799987792969,167.055 / 109.8,,
"115",115,167.08743696213 / 131.699996948242,167.087 / 131.7,167.087 / 131.7,
"116",116,168.593105122053 / 489.900024414062,168.593 / 489.9,,
"117",117,169.034539714875 / 60.6000022888184,169.035 / 60.6,,
"118",118,169.059354019262 / 163.800003051758,169.059 / 163.8,,
"119",119,169.095011293254 / 489.899993896484,169.095 / 489.9,,
"120",120,169.13231698211 / 52.5,169.132 / 52.5,,
"121",121,169.592393649318 / 489.900024414062,169.592 / 489.9,,
"122",122,170.040145579268 / 39.2999992370605,170.04 / 39.3,170.04 / 39.3,[2M+NH4]+
"123",123,170.058174967844 / 784.200012207031,170.058 / 784.2,170.058 / 784.2,[M+H-NH3-H2O-H2O]+
"124",124,170.043581594442 / 155.399993896484,170.044 / 155.4,,
"125",125,170.090857276597 / 77.1478538513184,170.091 / 77.1,,
"126",126,172.097024039974 / 624.600036621094,172.097 / 624.6,,
"127",127,172.163629752271 / 1223.40002441406,172.164 / 1223.4,,
"128",128,174.079534514056 / 87,174.08 / 87,,
"129",129,174.111058693135 / 670.500061035156,174.111 / 670.5,,
"130",130,174.110898361472 / 593.099975585938,174.111 / 593.1,,
"131",131,174.110940555289 / 270.600006103516,174.111 / 270.6,,
"132",132,174.122110869892 / 77.4065628051758,174.122 / 77.4,,
"133",133,175.077137600468 / 533.400024414062,175.077 / 533.4,,
"134",134,175.582466350129 / 570.900024414062,175.582 / 570.9,175.582 / 570.9,[M+H]+
"135",135,176.069288020325 / 674.099975585938,176.069 / 674.1,176.069 / 674.1,[M+H]+
"136",136,176.581265069642 / 570.900024414062,176.581 / 570.9,176.581 / 570.9,
"137",137,177.052846790899 / 601.118286132812,177.053 / 601.1,177.053 / 601.1,
"138",138,177.100079774706 / 66.5999984741211,177.1 / 66.6,,
"139",139,177.110404796515 / 805.200012207031,177.11 / 805.2,,
"140",140,178.087752527347 / 154.800003051758,178.088 / 154.8,,
